dataset,y_true,xgb_mean_prob,lr_mean_prob,cat_mean_prob,bias,ensemble_prob,selected_threshold,y_pred_threshold_opt
train,0,0.23698480427265167,0.3055032601662127,0.0,0.06851845589356104,0.27124403221943216,0.16,1
train,0,0.23698480427265167,0.3050747452466378,0.0,0.06808994097398613,0.27102977475964474,0.16,1
train,0,0.1392768919467926,0.06453587410950101,0.0,-0.07474101783729159,0.10190638302814681,0.16,0
train,0,0.2420714646577835,0.21021346307508265,0.0,-0.03185800158270086,0.22614246386643308,0.16,1
train,0,0.2634499967098236,0.34759928533376266,0.0,0.08414928862393906,0.3055246410217931,0.16,1
train,0,0.14347858726978302,0.06798117412767707,0.0,-0.07549741314210595,0.10572988069873004,0.16,0
train,0,0.1392768919467926,0.06033948379458158,0.0,-0.07893740815221102,0.0998081878706871,0.16,0
train,0,0.2571200728416443,0.37094911185098817,0.0,0.11382903900934388,0.31403459234631625,0.16,1
train,0,0.1392768919467926,0.07432198252672373,0.0,-0.06495490942006887,0.10679943723675817,0.16,0
train,0,0.22699563205242157,0.2360878898145146,0.0,0.00909225776209302,0.23154176093346807,0.16,1
train,0,0.1392768919467926,0.03839891486659656,0.0,-0.10087797708019605,0.08883790340669458,0.16,0
train,1,0.2634499967098236,0.7232669936470036,0.0,0.45981699693718003,0.4933584951784136,0.16,1
train,1,0.23698480427265167,0.3169529735512059,0.0,0.07996816927855421,0.2769688889119288,0.16,1
train,0,0.25654336810112,0.3109309981629216,0.0,0.054387630061801584,0.2837371831320208,0.16,1
train,0,0.14347858726978302,0.07169447598426171,0.0,-0.07178411128552131,0.10758653162702236,0.16,0
train,0,0.2571200728416443,0.3450553269432961,0.0,0.08793525410165182,0.3010876998924702,0.16,1
train,1,0.25876328349113464,0.31969373659627115,0.0,0.060930453105136506,0.28922851004370287,0.16,1
